Date,Close/Last,Volume,Open,High,Low
01/13/2020,$128.54,3285752,$127.84,$128.95,$127.6306
01/10/2020,$127.28,2790286,$127.58,$128.17,$126.92
01/09/2020,$127.81,2788834,$126.49,$127.88,$126.3903
01/08/2020,$125.54,3460175,$124.05,$126.36,$123.80
01/07/2020,$123.41,2045027,$123.47,$124.40,$123.36
01/06/2020,$124.06,2855280,$123.37,$124.16,$123.1204
01/03/2020,$124.60,2090689,$124.32,$125.10,$123.94
01/02/2020,$125.85,2707979,$124.66,$126.27,$124.23
12/31/2019,$124.49,2340392,$124.29,$124.574,$123.78
12/30/2019,$124.30,2306455,$125.20,$125.46,$124.18
12/27/2019,$125.19,1788623,$125.84,$125.97,$125.11
12/26/2019,$125.41,1487824,$124.98,$125.437,$124.53
12/24/2019,$124.74,953540,$124.95,$125.33,$124.38
12/23/2019,$124.49,3031584,$125.74,$125.74,$123.70
12/20/2019,$125.77,5828698,$125.86,$126.275,$124.83
12/19/2019,$124.83,2543560,$124.18,$124.895,$123.88
12/18/2019,$124.26,3154151,$125.03,$125.07,$124.08
12/17/2019,$124.95,4325383,$123.99,$125.40,$123.2505
12/16/2019,$123.68,3416088,$125.65,$126.33,$123.342
12/13/2019,$124.72,3919223,$122.47,$124.99,$122.08
12/12/2019,$122.64,2936293,$120.60,$123.07,$120.05
12/11/2019,$120.64,2015312,$120.88,$121.38,$120.10
12/10/2019,$120.90,2518152,$120.45,$121.47,$120.03
12/09/2019,$120.46,2900194,$120.44,$121.53,$120.11
12/06/2019,$120.61,3287600,$120.21,$121.44,$119.91
12/05/2019,$118.28,3128325,$117.91,$118.43,$117.59
12/04/2019,$117.94,2444142,$117.31,$118.54,$117.00
12/03/2019,$116.57,3845210,$116.04,$116.75,$114.645
12/02/2019,$117.26,5538445,$120.31,$120.355,$117.07
11/29/2019,$120.12,1961463,$120.07,$120.89,$119.78
11/27/2019,$120.33,2629692,$120.00,$120.36,$119.35
11/26/2019,$119.79,4596978,$120.91,$121.04,$119.60
11/25/2019,$120.60,2285536,$119.14,$120.60,$119.14
11/22/2019,$119.06,1629686,$119.21,$119.29,$118.41
11/21/2019,$118.80,2783811,$119.29,$119.47,$118.4909
11/20/2019,$119.30,2544145,$119.83,$120.23,$118.93
11/19/2019,$120.00,1891059,$120.01,$120.45,$119.86
11/18/2019,$119.66,2617896,$120.56,$120.85,$119.40
11/15/2019,$120.76,2341456,$120.98,$121.33,$120.39
11/14/2019,$120.93,1990731,$120.00,$120.98,$119.80
11/13/2019,$120.26,1839122,$120.27,$120.965,$120.13
11/12/2019,$120.89,2012437,$120.87,$121.225,$120.41
11/11/2019,$120.90,1704102,$120.76,$121.81,$120.51
11/08/2019,$121.47,1984615,$121.01,$121.81,$120.89
11/07/2019,$121.28,2845276,$120.27,$122.43,$120.10
11/06/2019,$119.69,2420675,$118.89,$119.72,$118.89
11/05/2019,$118.77,2630046,$119.84,$119.96,$117.7567
11/04/2019,$119.62,1956428,$119.62,$120.50,$119.01
11/01/2019,$119.14,2036603,$118.41,$119.45,$118.17
10/31/2019,$117.28,2507443,$117.79,$118.21,$116.89
10/30/2019,$118.07,2264361,$117.44,$118.17,$116.86
10/29/2019,$117.42,2756309,$118.09,$118.8342,$117.075
10/28/2019,$118.58,2552660,$118.64,$119.30,$118.07
10/25/2019,$118.26,2324965,$116.36,$118.51,$116.27
10/24/2019,$116.41,2621355,$116.44,$116.90,$116.14
10/23/2019,$116.49,3937790,$118.42,$119.23,$115.51
10/22/2019,$118.61,3917049,$118.67,$119.3498,$118.29
10/21/2019,$119.05,4320516,$117.55,$119.38,$117.49
10/18/2019,$116.76,6195550,$119.73,$119.98,$116.67
10/17/2019,$119.10,3030095,$118.01,$119.33,$117.9581
10/16/2019,$117.41,2147262,$117.63,$117.99,$117.07
10/15/2019,$117.59,3072022,$117.03,$118.1867,$116.73
10/14/2019,$116.39,1882325,$116.14,$117.00,$115.94
10/11/2019,$116.40,2875926,$116.74,$117.57,$116.185
10/10/2019,$115.02,2399563,$114.81,$115.785,$113.93
10/09/2019,$113.92,2385943,$113.25,$114.77,$113.23
10/08/2019,$112.54,3803596,$112.83,$113.65,$112.05
10/07/2019,$113.65,2585434,$113.91,$114.65,$113.60
10/04/2019,$114.41,2753195,$112.66,$114.53,$112.60
10/03/2019,$112.55,3549232,$112.20,$112.955,$111.06
10/02/2019,$112.86,4931560,$115.76,$115.81,$112.75
10/01/2019,$116.70,2857528,$118.70,$119.50,$116.61
09/30/2019,$118.28,2353731,$119.05,$119.24,$118.14
09/27/2019,$118.59,2910998,$119.13,$119.62,$117.98
09/26/2019,$118.91,3460103,$119.31,$120.025,$118.84
09/25/2019,$119.12,2762394,$117.86,$119.44,$117.06
09/24/2019,$118.17,5130055,$118.89,$120.20,$117.52
09/23/2019,$118.24,5203692,$116.36,$118.4223,$116.10
09/20/2019,$116.80,5342370,$117.83,$118.24,$116.37
09/19/2019,$117.79,1994179,$118.61,$119.52,$117.60
09/18/2019,$118.74,2886889,$118.59,$118.80,$117.47
09/17/2019,$119.05,3075905,$117.90,$119.13,$117.50
09/16/2019,$117.64,4280612,$118.14,$118.44,$116.68
09/13/2019,$119.20,3941062,$119.24,$119.97,$118.29
09/12/2019,$119.02,3733544,$119.00,$120.43,$118.78
09/11/2019,$118.00,3674376,$117.12,$118.10,$116.75
